"","logFC","AveExpr","t","P.Value","adj.P.Val","B","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10"
"cg15661409",0.04621203,0.575539685,2.4130201641704,0.0255383074156454,0.0255383074156454,-4.6616321641565,"14",57960976,"F","II","C14orf105","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg14372394",-0.0225592,0.22140084,-2.41300568748309,0.0255390872299288,0.0255390872299288,-4.66166041894076,"2",101033546,"F","II","CHST10","5'UTR","shore","5'UTR-shore","chr2:101033606-101034296",TRUE,NA,"","",""
"cg16004226",0.00837132599999999,0.051089357,2.41215986839921,0.0255846873607782,0.0255846873607782,-4.66331108018487,"11",369875,"R","II","B4GALNT4","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg16014085",0.073448688,0.169671528,2.41186343212749,0.0256006868667962,0.0256006868667962,-4.66388951655986,"16",30406122,"F","II","ZNF48","TSS1500","shore","TSS1500-shore","chr16:30406290-30407290",NA,NA,"","rs9924949",""
"cg02301754",0.04610496,0.70747571,2.41153241292584,0.0256185639113319,0.0256185639113319,-4.66453538868714,"1",151149370,"R","II","VPS72","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg04057053",-0.008872981,0.0444618275,-2.411475690605,0.025621628425918,0.025621628425918,-4.66464605826427,"1",113008926,"F","II","WNT2B","TSS1500","island","TSS1500-island","chr1:113008844-113009154",NA,TRUE,"","",""
"cg17298704",0.0632804400000001,0.75522103,2.41133694334166,0.0256291259072313,0.0256291259072313,-4.66491675876265,"3",137717607,"R","II","CLDN18","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg26561254",-0.04679014,0.24634425,-2.41128411499907,0.0256319811270833,0.0256319811270833,-4.66501982636591,"15",89164044,"R","II","AEN","TSS1500","shore","TSS1500-shore","chr15:89164376-89164952",NA,NA,"","",""
"cg27016863",-0.00908568799999999,0.055321518,-2.41089121389379,0.0256532255865535,0.0256532255865535,-4.66578633399067,"1",91966490,"R","II","CDC7","TSS200","island","TSS200-island","chr1:91966263-91966999",NA,NA,"","",""
"cg14037413",0.06306161,0.374499285,2.41048283894554,0.0256753240870072,0.0256753240870072,-4.66658295696745,"11",9482594,"F","II","ZNF143","1stExon","island","1stExon-island","chr11:9482109-9483152",NA,NA,"","",""
"cg04824716",0.05961139,0.285731765,2.41044549672711,0.0256773456796181,0.0256773456796181,-4.66665579729277,"6",31125475,"R","II","CCHCR1","1stExon","shore","1stExon-shore","chr6:31125894-31126561",NA,NA,"","",""
"cg25227148",-0.026795318,0.116773831,-2.4103683106207,0.0256815247668371,0.0256815247668371,-4.66680635578212,"18",32870611,"F","II","ZNF271","Body","shore","Body-shore","chr18:32870175-32870512",NA,TRUE,"","",""
"cg03528946",0.01979305,0.069812781,2.4099865448295,0.0257022040161099,0.0257022040161099,-4.66755098571663,"9",38069800,"F","II","SHB","TSS1500","island","TSS1500-island","chr9:38069784-38069991",NA,NA,"","",""
"cg25228746",-0.012912198,0.049664578,-2.40981280203533,0.0257116203338986,0.0257116203338986,-4.66788984772576,"2",127865379,"R","II","BIN1","TSS1500","shore","TSS1500-shore","chr2:127863642-127865288",NA,NA,"","",""
"cg15751406",0.06433258,0.65373094,2.40879465249653,0.0257668653918119,0.0257668653918119,-4.66987534286893,"19",8934543,"F","II","ZNF558","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg14434255",-0.02218244,0.1378027,-2.40867861074229,0.0257731688510882,0.0257731688510882,-4.67010160691485,"10",101419627,"R","II","ENTPD7","5'UTR","shore","5'UTR-shore","chr10:101418868-101419589",NA,NA,"","",""
"cg06037693",-0.02021909,0.863616225,-2.40807681512969,0.0258058817687309,0.0258058817687309,-4.67127492244968,"1",25292072,"F","II","RUNX3","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg14529146",-0.020362705,0.1192435005,-2.40793691745882,0.025813491975047,0.025813491975047,-4.67154765667401,"17",39968600,"F","II","FKBP10","TSS1500","island","TSS1500-island","chr17:39967407-39968604",NA,NA,"","",""
"cg07906724",0.05033189,0.439218105,2.40784410500398,0.0258185419736068,0.0258185419736068,-4.6717285922275,"8",42623946,"R","II","CHRNA6","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg07677850",0.04073517,0.432844845,2.40784393150755,0.0258185514145441,0.0258185514145441,-4.67172893045086,"17",15847412,"R","II","ADORA2B","TSS1500","shore","TSS1500-shore","chr17:15847757-15849513",NA,NA,"","",""
"cg11212312",0.07440623,0.641231995,2.40721152623793,0.0258529855595621,0.0258529855595621,-4.67296168684443,"5",131395683,"F","II","IL3","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","rs2069783",""
"cg12914014",-0.04558954,0.39411848,-2.40718953534138,0.0258541837206984,0.0258541837206984,-4.67300455081115,"16",9058365,"R","II","USP7","TSS1500","shore","TSS1500-shore","chr16:9056372-9056844",NA,NA,"","",""
"cg18704595",-0.01806391,0.111221045,-2.40713131239305,0.0258573562133334,0.0258573562133334,-4.67311803612155,"20",43280957,"F","II","ADA","TSS1500","shore","TSS1500-shore","chr20:43280061-43280727",TRUE,NA,"","",""
"cg24904765",-0.018512708,0.08863032,-2.40696139744937,0.0258666167272735,0.0258666167272735,-4.67344921737629,"2",153032743,"F","II","STAM2","TSS1500","island","TSS1500-island","chr2:153031933-153032895",NA,NA,"","rs6740224",""
"cg23442323",-0.015560538,0.073886845,-2.40692656115911,0.0258685157166802,0.0258685157166802,-4.67351711521386,"6",74406189,"R","II","CD109","Body","shore","Body-shore","chr6:74405600-74406021",NA,NA,"","",""
"cg08509737",0.06503975,0.575678185,2.40632579375206,0.0259012850410343,0.0259012850410343,-4.67468795900039,"3",11340277,"F","II","ATG7","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg14438174",-0.02379638,0.104555409,-2.40622687419067,0.0259066843849405,0.0259066843849405,-4.67488072930985,"17",7137923,"F","I","DVL2","TSS200","island","TSS200-island","chr17:7137358-7138133",NA,NA,"","rs222850",""
"cg14304761",0.006470496,0.038361622,2.4057234505573,0.0259341790663444,0.0259341790663444,-4.67586171289317,"9",93564149,"F","I","SYK","TSS200","island","TSS200-island","chr9:93563775-93564546",TRUE,NA,"high-CpG:92603858-92604047","",""
"cg27367952",-0.013332096,0.081251602,-2.40462343221493,0.0259943514450505,0.0259943514450505,-4.67800484348659,"2",219221586,"R","II","C2orf62","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg19981839",-0.022989047,0.1207344265,-2.40441764406271,0.0260056227174458,0.0260056227174458,-4.67840571422063,"16",30366847,"R","II","CD2BP2","TSS1500","shore","TSS1500-shore","chr16:30366206-30366761",NA,NA,"","",""
"cg15147435",-0.016993122,0.056990683,-2.40399606322498,0.0260287274133502,0.0260287274133502,-4.67922688546486,"12",49319453,"F","II","FKBP11","TSS200","island","TSS200-island","chr12:49318486-49319476",NA,TRUE,"","rs3825182",""
"cg04718306",-0.015539592,0.124505044,-2.40388807729584,0.0260346486409306,0.0260346486409306,-4.67943721185615,"1",68151105,"R","II","GADD45A","5'UTR","island","5'UTR-island","chr1:68150913-68152270",NA,NA,"","",""
"cg09617747",-0.014137957,0.0776704235,-2.40355886373012,0.0260527082449047,0.0260527082449047,-4.68007839578832,"16",69788565,"F","II","NOB1","Body","island","Body-island","chr16:69788469-69788984",NA,NA,"","",""
"cg22925639",0.06603358,0.60001913,2.40353179771587,0.0260541935179278,0.0260541935179278,-4.68013110803578,"2",175628739,"F","II","CHRNA1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg04106641",-0.019838323,0.1134933385,-2.40347647395617,0.0260572297062486,0.0260572297062486,-4.68023885246487,"2",148779564,"F","II","ORC4L","TSS1500","shore","TSS1500-shore","chr2:148778222-148778530",NA,NA,"","",""
"cg25463409",0.02789379,0.400265545,2.40342528385942,0.0260600393306013,0.0260600393306013,-4.68033854526665,"4",46848264,"F","II","COX7B2","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg01618304",-0.026652081,0.1308548785,-2.40308172685907,0.0260789031207703,0.0260789031207703,-4.68100759292926,"11",93474888,"R","II","C11orf54","1stExon","island","1stExon-island","chr11:93474085-93475075",NA,NA,"high-CpG:93114365-93114657","",""
"cg25076881",-0.03613961,0.213515495,-2.40291104119611,0.0260882797302357,0.0260882797302357,-4.68133996901315,"1",159409836,"R","II","OR10J1","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg24636657",0.0434249399999999,0.85139948,2.40288977874832,0.0260894480013765,0.0260894480013765,-4.6813813724556,"X",105280886,"F","II","SERPINA7","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs72554661","rs61754489"
"cg10174687",-0.020209715,0.0790190555,-2.4027649127376,0.0260963097807558,0.0260963097807558,-4.6816245145599,"15",38746780,"R","I","FAM98B","Body","island","Body-island","chr15:38746274-38746785",TRUE,NA,"","",""
"cg23477967",-0.03230465,0.252956255,-2.40274997029978,0.0260971310270186,0.0260971310270186,-4.68165361036959,"2",188419087,"F","II","TFPI","1stExon","opensea","1stExon-opensea","",NA,TRUE,"","",""
"cg10773309",-0.027651302,0.120074719,-2.40163454835922,0.0261585032313327,0.0261585032313327,-4.68382527126638,"1",32229411,"R","I","BAI2","5'UTR","island","5'UTR-island","chr1:32228347-32230252",NA,NA,"","",""
"cg26189983",0.035105198,0.083436742,2.40139324668223,0.0261717976534185,0.0261717976534185,-4.68429499848745,"1",12227700,"F","II","TNFRSF1B","Body","island","Body-island","chr1:12226876-12227712",TRUE,TRUE,"","",""
"cg22368307",-0.022999647,0.0988880775,-2.40060391688406,0.0262153293557655,0.0262153293557655,-4.6858313571827,"11",75110460,"F","II","SNORD15A","TSS1500","shore","TSS1500-shore","chr11:75110493-75110924",NA,NA,"","",""
"cg09816471",0.0297115,0.19054269,2.40059975105884,0.0262155592803139,0.0262155592803139,-4.68583946484567,"16",11761860,"R","II","SNN","TSS1500","island","TSS1500-island","chr16:11761859-11762127",NA,NA,"","",""
"cg01120165",0.013300013,0.0832710285,2.40059540954235,0.0262157989037914,0.0262157989037914,-4.68584791443639,"22",50690152,"R","I","HDAC10","TSS1500","island","TSS1500-island","chr22:50689160-50690167",NA,NA,"","rs9617125",""
"cg21663122",-0.02621942,0.14964827,-2.4005527250971,0.0262181549159934,0.0262181549159934,-4.68593098774722,"6",26250936,"F","II","HIST1H2BH","TSS1500","shore","TSS1500-shore","chr6:26251898-26252233",NA,NA,"","",""
"cg03775246",0.0429577900000001,0.427647805,2.40054520985622,0.0262185697478781,0.0262185697478781,-4.68594561397339,"5",111095049,"R","II","C5orf13","TSS1500","shore","TSS1500-shore","chr5:111093438-111093980",NA,NA,"","",""
"cg18849169",0.02810151,0.649337025,2.39981966141798,0.0262586478492752,0.0262586478492752,-4.68735756390603,"5",150399781,"R","II","GPX3","TSS1500","shore","TSS1500-shore","chr5:150400000-150400490",NA,NA,"","",""
"cg20022122",0.0490450500000001,0.547184635,2.39975046534344,0.0262624730990979,0.0262624730990979,-4.68749221031263,"2",27720122,"F","II","GCKR","Body","shore","Body-shore","chr2:27717681-27718337",NA,NA,"","rs2272415",""
"cg02477931",0.0462238699999999,0.658695455,2.39922601800093,0.0262914820780227,0.0262914820780227,-4.68851264596952,"11",131532721,"R","II","NTM","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg24832140",-0.03701269,0.185081045,-2.39841408178641,0.0263364517943024,0.0263364517943024,-4.69009221658348,"19",48774411,"R","I","ZNF114","TSS1500","shore","TSS1500-shore","chr19:48775008-48775341",TRUE,NA,"","",""
"cg06330324",-0.017354803,0.0675902355,-2.39777757947974,0.0263717549362182,0.0263717549362182,-4.69133028567407,"22",31031670,"R","II","SLC35E4","TSS200","island","TSS200-island","chr22:31031358-31032059",NA,NA,"","",""
"cg15422784",0.0431705600000001,0.76695524,2.39747338569803,0.0263886423502673,0.0263886423502673,-4.69192191309243,"1",90023713,"F","II","LRRC8B","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","rs12119009",""
"cg03992230",-0.010619309,0.0535199085,-2.39717400198778,0.026405272542491,0.026405272542491,-4.69250414499488,"5",179050530,"F","II","HNRNPH1","5'UTR","island","5'UTR-island","chr5:179049815-179051611",NA,NA,"","",""
"cg01063813",-0.02903651,0.175736455,-2.39712725481961,0.0264078701370543,0.0264078701370543,-4.69259505378084,"12",57504948,"F","II","STAT6","1stExon","opensea","1stExon-opensea","",NA,TRUE,"low-CpG:55791202-55791839","",""
"cg19138060",0.04610977,0.478310815,2.39707489829223,0.0264107797081224,0.0264107797081224,-4.69269686987565,"X",48455227,"R","II","WDR13","TSS1500","shore","TSS1500-shore","chrX:48455942-48456594",NA,NA,"","",""
"cg16449972",0.0568914000000001,0.58591585,2.39679237897582,0.0264264850886392,0.0264264850886392,-4.6932462551636,"16",49861382,"F","II","ZNF423","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","rs8044856",""
"cg15595739",0.04595978,0.70049988,2.39628637315125,0.0264546358794529,0.0264546358794529,-4.69423014167271,"17",63183451,"F","II","RGS9","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg03958979",0.014077616,0.066698566,2.39572063143747,0.0264861429651774,0.0264861429651774,-4.69533004402756,"6",108486387,"R","II","NR2E1","TSS1500","island","TSS1500-island","chr6:108485671-108490539",NA,TRUE,"","",""
"cg20647137",0.0391920800000001,0.79510183,2.3956836792698,0.026488202104564,0.026488202104564,-4.69540188061946,"7",137761289,"R","II","AKR1D1","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg11706163",0.05144535,0.365190715,2.39549041809917,0.0264989739011285,0.0264989739011285,-4.69577757862931,"5",39364495,"F","II","C9","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs35431875",""
"cg05646865",0.02001107,0.878553915,2.39506310869619,0.0265228052909038,0.0265228052909038,-4.69660820497325,"1",41486908,"R","II","SLFNL1","5'UTR","shelf","5'UTR-shelf","chr1:41483418-41483693",NA,TRUE,"","",""
"cg12312863",0.05496455,0.214073245,2.3950172225327,0.0265253655827445,0.0265253655827445,-4.69669739603376,"16",2569967,"F","II","AMDHD2","TSS1500","island","TSS1500-island","chr16:2569559-2571071",NA,NA,"","",""
"cg13338132",0.05513539,0.824663315,2.39493201346397,0.0265301205680085,0.0265301205680085,-4.69686301834437,"12",100041984,"F","II","FAM71C","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg05596294",-0.03070299,0.174347745,-2.39488000320295,0.0265330233245994,0.0265330233245994,-4.69696410997172,"1",99729757,"R","II","LPPR4","TSS200","shore","TSS200-shore","chr1:99729982-99730335",NA,TRUE,"","",""
"cg21856603",0.04102015,0.674359045,2.39451549063686,0.0265533755005443,0.0265533755005443,-4.69767257401688,"17",3713823,"R","II","","IGR","opensea","IGR-opensea","",NA,NA,"","",""
"cg16158220",0.0565618,0.72434668,2.39391712747587,0.0265868159236896,0.0265868159236896,-4.69883541935413,"2",79383891,"R","II","","IGR","opensea","IGR-opensea","",NA,NA,"","",""
"cg12124478",-0.032273859,0.1570701105,-2.39389894646156,0.0265878326090878,0.0265878326090878,-4.69887074941148,"1",156542480,"F","II","IQGAP3","TSS200","island","TSS200-island","chr1:156542099-156542502",NA,NA,"","",""
"cg12732953",0.04965139,0.428160865,2.39294082960102,0.0266414617937061,0.0266414617937061,-4.70073238984902,"X",147062547,"R","II","FMR1NB","TSS1500","shore","TSS1500-shore","chrX:147062671-147062917",NA,NA,"","",""
"cg01371477",-0.02186981,0.239582115,-2.39265135456726,0.0266576844876699,0.0266576844876699,-4.70129476471568,"1",150207822,"F","II","ANP32E","TSS1500","island","TSS1500-island","chr1:150206971-150207842",NA,NA,"","",""
"cg23719367",0.06345546,0.47046535,2.39224654942287,0.0266803858727542,0.0266803858727542,-4.70208113301403,"8",12594834,"R","II","LONRF1","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg17742874",-0.008542633,0.0536739395,-2.39176947729143,0.0267071630245984,0.0267071630245984,-4.70300779165948,"19",12792761,"R","II","DHPS","TSS200","island","TSS200-island","chr19:12792295-12792803",NA,NA,"","",""
"cg14576824",-0.03365003,0.205313655,-2.3917110500441,0.0267104441499949,0.0267104441499949,-4.70312127295588,"1",213224402,"R","II","RPS6KC1","TSS200","shore","TSS200-shore","chr1:213224611-213224867",NA,NA,"","",""
"cg00644033",0.06319906,0.69596686,2.39150107178039,0.0267222390851918,0.0267222390851918,-4.7035290940928,"7",100544704,"R","II","","IGR","opensea","IGR-opensea","",NA,NA,"","",""
"cg05959392",-0.027310158,0.117419816,-2.39126058021772,0.0267357539614018,0.0267357539614018,-4.70399615403522,"10",104613928,"R","II","C10orf32","TSS200","shore","TSS200-shore","chr10:104614000-104614326",TRUE,NA,"","",""
"cg22572214",-0.030938146,0.111330569,-2.39052882630646,0.0267769153034642,0.0267769153034642,-4.7054171374368,"3",155572542,"R","II","SLC33A1","TSS1500","island","TSS1500-island","chr3:155572358-155572604",NA,NA,"","",""
"cg13463167",0.04740052,0.43159532,2.39022356859121,0.0267941035162798,0.0267941035162798,-4.70600984231682,"1",197523608,"F","II","DENND1B","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg13300756",0.06849101,0.302834905,2.38998141040403,0.0268077460575141,0.0268077460575141,-4.70647999995676,"19",52228038,"R","II","HAS1","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg03387497",0.05459202,0.73455673,2.3876213672067,0.0269410427171489,0.0269410427171489,-4.71106071624232,"20",17680945,"F","II","BANF2","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","rs4813275",""
"cg22247240",0.06855575,0.432695725,2.38747701340506,0.0269492158450956,0.0269492158450956,-4.71134081782869,"14",74815187,"F","II","C14orf115","1stExon","opensea","1stExon-opensea","",NA,NA,"low-CpG:73884924-73884964","",""
"cg22375610",0.02945938,0.16206161,2.38652256628153,0.0270033133774727,0.0270033133774727,-4.7131925741395,"6",41021161,"F","II","APOBEC2","1stExon","opensea","1stExon-opensea","",NA,TRUE,"","",""
"cg04893087",-0.037979444,0.167527388,-2.38652190018693,0.0270033511665229,0.0270033511665229,-4.71319386630966,"4",23892083,"R","II","PPARGC1A","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg21621204",0.0480764,0.58794398,2.38640140711671,0.0270101878182006,0.0270101878182006,-4.71342760992697,"4",70916719,"R","II","HTN1","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg02755455",0.0498071100000001,0.577305335,2.38627015890087,0.027017636534067,0.027017636534067,-4.71368220992747,"1",65352382,"R","II","JAK1","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg04473302",-0.020782908,0.086427567,-2.38593414828161,0.0270367147997538,0.0270367147997538,-4.7143339800089,"7",107301217,"R","II","SLC26A4","5'UTR","island","5'UTR-island","chr7:107301205-107302416",NA,NA,"","",""
"cg14481339",0.0254277,0.82510295,2.38591361604669,0.0270378809999115,0.0270378809999115,-4.71437380536351,"11",128737319,"F","II","KCNJ1","TSS200","opensea","TSS200-opensea","",NA,NA,"","rs11821866",""
"cg11612345",0.010971577,0.0531058475,2.38586505851041,0.027040639180972,0.027040639180972,-4.71446798924479,"6",168842491,"R","II","SMOC2","Body","island","Body-island","chr6:168841818-168843100",NA,NA,"","",""
"cg08825571",0.00646432499999999,0.0427148985,2.38585612233247,0.0270411468051312,0.0270411468051312,-4.71448532204962,"8",145159373,"R","I","SHARPIN","TSS1500","island","TSS1500-island","chr8:145158467-145160068",NA,NA,"high-CpG:145231312-145231416","",""
"cg14399447",-0.01595911,0.067152201,-2.38536925823663,0.0270688167430868,0.0270688167430868,-4.71542959981028,"19",48613950,"R","II","PLA2G4C","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg09889850",-0.0270043,0.14233287,-2.38494460216913,0.027092972670748,0.027092972670748,-4.71625313720441,"14",35008750,"F","II","EAPP","Body","island","Body-island","chr14:35008526-35009049",NA,NA,"","",""
"cg05744229",0.02614834,0.36558412,2.38493866317431,0.0270933106434541,0.0270933106434541,-4.71626465414665,"14",23904678,"F","II","MYH7","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg14031452",-0.02908225,0.202927005,-2.38488634750736,0.0270962879606973,0.0270962879606973,-4.71636610438381,"12",97301535,"R","II","NEDD1","Body","shore","Body-shore","chr12:97300802-97301287",NA,NA,"","",""
"cg12613344",0.0311705499999999,0.755152555,2.38488158959849,0.0270965587513251,0.0270965587513251,-4.71637533083179,"11",47280305,"F","II","NR1H3","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg10523671",-0.01961204,0.34382711,-2.38467721275191,0.0271081929840129,0.0271081929840129,-4.7167716449522,"3",121612956,"F","II","SLC15A2","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg14046365",-0.02407985,0.146201485,-2.38438065114057,0.0271250831165232,0.0271250831165232,-4.71734668418342,"2",152146318,"F","II","NMI","5'UTR","island","5'UTR-island","chr2:152145869-152146319",TRUE,NA,"","",""
"cg24289167",-0.03533324,0.21186456,-2.38424615122561,0.027132746536157,0.027132746536157,-4.71760746927949,"10",79789219,"F","II","POLR3A","5'UTR","island","5'UTR-island","chr10:79789138-79789441",NA,NA,"","",""
"cg24091698",-0.02586163,0.132489415,-2.38376119511858,0.0271603946339252,0.0271603946339252,-4.71854769445828,"16",14013720,"R","II","ERCC4","TSS1500","shore","TSS1500-shore","chr16:14013751-14014295",NA,NA,"","",""
"cg23519969",0.0411238300000001,0.678095015,2.38351921732526,0.0271741999390162,0.0271741999390162,-4.7190167974465,"3",39371797,"F","II","CCR8","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg16708281",0.022345737,0.1433840015,2.38309651642979,0.0271983314759327,0.0271983314759327,-4.7198361904182,"2",114256673,"F","II","FOXD4L1","1stExon","shore","1stExon-shore","chr2:114256775-114258043",NA,NA,"","rs2757968",""
"cg24906202",0.025563371,0.0976794475,2.38260766499914,0.0272262642756733,0.0272262642756733,-4.7207837135736,"15",73345212,"F","II","NEO1","Body","island","Body-island","chr15:73343779-73345369",NA,NA,"","",""
"cg24200059",0.011446786,0.045343367,2.38154047612802,0.0272873355979686,0.0272873355979686,-4.72285183219111,"17",80375975,"R","II","C17orf101","Body","shore","Body-shore","chr17:80376412-80376761",NA,NA,"","",""
"cg19350340",-0.05448122,0.31348901,-2.38115781793461,0.0273092646750996,0.0273092646750996,-4.72359326486108,"1",197115964,"F","II","ASPM","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg20550520",-0.03133825,0.179976315,-2.38102736389716,0.0273167443703601,0.0273167443703601,-4.72384601547407,"14",32545277,"R","II","ARHGAP5","TSS1500","island","TSS1500-island","chr14:32545276-32547141",NA,NA,"","",""
"cg18982568",0.04876358,0.54212501,2.38046630233698,0.0273489349951568,0.0273489349951568,-4.72493296691993,"12",53097169,"F","II","KRT77","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs17118224",""
"cg04739149",0.02525151,0.769145055,2.38042955242257,0.0273510447308194,0.0273510447308194,-4.72500415800984,"3",99833293,"R","II","C3orf26","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg20851245",0.04425829,0.781320955,2.38038975512494,0.0273533295806883,0.0273533295806883,-4.72508125173122,"2",219538212,"F","II","STK36","Body","shore","Body-shore","chr2:219536410-219536813",NA,NA,"","",""
"cg04514981",-0.016670681,0.0737220125,-2.38019021465376,0.0273647883058266,0.0273647883058266,-4.725467782685,"18",33077497,"F","II","INO80C","Body","shore","Body-shore","chr18:33077545-33078063",NA,NA,"","",""
"cg24365013",0.0735794499999999,0.582667485,2.3801498014861,0.0273671095973042,0.0273671095973042,-4.72554606506181,"3",150691910,"F","II","CLRN1","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg16391792",0.0582881,0.60321096,2.38001762185012,0.027374703138014,0.027374703138014,-4.72580209862744,"15",58723657,"R","II","LIPC","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg19964192",0.04075618,0.85360797,2.37981791607752,0.0273861796718892,0.0273861796718892,-4.726188916141,"X",151307053,"R","I","MAGEA10","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg08763351",0.03315284,0.55278461,2.37892734771754,0.0274374125143768,0.0274374125143768,-4.727913671179,"1",152943210,"R","II","SPRR4","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg09017174",0.02896401,0.166292405,2.37813415148391,0.0274831185638149,0.0274831185638149,-4.72944954406218,"11",35440525,"R","II","SLC1A2","5'UTR","island","5'UTR-island","chr11:35440375-35441882",NA,NA,"","",""
"cg18728325",-0.024805686,0.100145723,-2.37793433410896,0.0274946436986554,0.0274946436986554,-4.72983640724939,"19",44598784,"R","II","ZNF224","5'UTR","island","5'UTR-island","chr19:44598374-44598854",NA,NA,"","",""
"cg21032203",-0.0388011,0.141520385,-2.37770992366519,0.0275075926662136,0.0275075926662136,-4.73027086309996,"1",71546840,"F","II","ZRANB2","TSS200","shore","TSS200-shore","chr1:71546486-71546783",NA,NA,"","",""
"cg27433088",-0.03388085,0.357247045,-2.37758504173329,0.0275148010734861,0.0275148010734861,-4.73051262309072,"4",174089019,"F","II","GALNT7","TSS1500","shore","TSS1500-shore","chr4:174090074-174091423",NA,NA,"","rs1054497",""
"cg12641660",-0.01978043,0.101835121,-2.37732829141693,0.0275296266636784,0.0275296266636784,-4.73100964598878,"1",117602129,"F","II","TTF2","TSS1500","shore","TSS1500-shore","chr1:117602388-117603270",NA,NA,"","","rs76654279"
"cg13775495",-0.017948344,0.051498138,-2.3773166458988,0.0275302992890522,0.0275302992890522,-4.73103218892965,"3",159706543,"R","I","IL12A","TSS200","island","TSS200-island","chr3:159706490-159707011",NA,NA,"","",""
"cg07965823",0.00619702,0.037153052,2.37716158931417,0.0275392565473119,0.0275392565473119,-4.73133233557119,"14",77964712,"F","II","ISM2","Body","island","Body-island","chr14:77964571-77965670",NA,TRUE,"","",""
"cg21716693",0.07382492,0.29840955,2.37663373407544,0.0275697697874672,0.0275697697874672,-4.73235403548708,"6",36806882,"R","II","CPNE5","Body","island","Body-island","chr6:36806881-36807217",NA,NA,"","",""
"cg07971188",-0.06779937,0.345738565,-2.37656353934534,0.0275738298310478,0.0275738298310478,-4.73248989266465,"6",31431100,"F","II","HCP5","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg15676488",-0.02766716,0.113948106,-2.37642570093807,0.0275818039798633,0.0275818039798633,-4.73275666312236,"6",34725116,"R","II","SNRPC","5'UTR","island","5'UTR-island","chr6:34725063-34725306",NA,NA,"","",""
"cg14631703",-0.023769186,0.084860045,-2.37606002571736,0.0276029691797892,0.0276029691797892,-4.73346434386816,"19",39110062,"R","II","EIF3K","Body","shore","Body-shore","chr19:39109432-39109862",NA,NA,"","",""
"cg16914151",0.010066571,0.0515177605,2.37594456126931,0.0276096553649639,0.0276096553649639,-4.73368778628774,"15",75249787,"R","I","RPP25","TSS200","island","TSS200-island","chr15:75248277-75249922",NA,NA,"","",""
"cg00488364",0.05620114,0.51927506,2.37587659277084,0.0276135919105834,0.0276135919105834,-4.73381931351751,"X",114253315,"R","II","IL13RA2","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg10586756",0.05509389,0.576175045,2.37562266879309,0.0276283030841316,0.0276283030841316,-4.73431066843879,"16",56782283,"R","II","NUP93","Body","opensea","Body-opensea","",NA,NA,"","",""
